ID,Name,Spawn_1554,Spawn_1560,Spawn_1568,Spawn_1575,Spawn_1582,Spawn_1598
lord_tk5_29,足利义昭,village_tk212,town_tk105,town_tk105,village_tk226,village_tk226,
lord_tk5_30,足利义氏,village_tk193,village_tk193,village_tk193,village_tk193,village_tk193,
lord_tk5_31,足利义辉,town_tk098,town_tk105,,,,
lord_tk5_32,芦名盛氏,town_tk020,town_tk020,town_tk020,town_tk020,,
lord_tk5_33,芦名盛兴,town_tk020,town_tk020,town_tk020,town_tk020,,
lord_tk5_34,芦名盛重,town_tk024,town_tk024,town_tk024,town_tk024,town_tk020,town_tk024
lord_tk5_35,芦名盛隆,town_tk020,town_tk020,town_tk020,town_tk020,town_tk020,
lord_tk5_36,阿苏惟将,town_tk164,town_tk164,town_tk164,town_tk164,town_tk164,
lord_tk5_37,安宅信康,castle_tk266,castle_tk266,castle_tk266,castle_tk266,,
lord_tk5_38,安宅冬康,castle_tk266,castle_tk266,,,,
lord_tk5_39,迹部胜资,town_tk069,town_tk069,town_tk069,town_tk069,town_tk069,
lord_tk5_40,穴山小助,town_tk069,town_tk069,town_tk069,town_tk069,town_tk072,village_tk201
lord_tk5_41,穴山梅雪,town_tk069,town_tk069,town_tk069,town_tk069,town_tk072,
lord_tk5_42,姊小路赖纲,town_tk089,town_tk089,town_tk089,town_tk089,town_tk089,
lord_tk5_43,阿部正次,village_tk204,village_tk204,village_tk204,village_tk204,town_tk074,town_tk041
lord_tk5_44,尼子胜久,village_tk212,town_tk121,village_tk212,village_tk212,,
lord_tk5_45,尼子晴久,town_tk121,town_tk121,,,,
lord_tk5_46,尼子义久,town_tk121,town_tk121,village_tk227,village_tk227,village_tk227,village_tk227
lord_tk5_47,天野隆重,town_tk141,town_tk138,town_tk121,town_tk121,town_tk121,
lord_tk5_48,天野康景,town_tk072,town_tk077,town_tk077,town_tk077,town_tk074,town_tk041
lord_tk5_49,雨森弥兵卫,town_tk094,town_tk094,town_tk094,,,
lord_tk5_50,鲇贝宗重,town_tk019,town_tk019,town_tk019,town_tk019,town_tk019,town_tk010
lord_tk5_51,荒木氏纲,town_tk107,town_tk107,town_tk107,town_tk107,,
lord_tk5_52,荒木村重,town_tk115,town_tk115,town_tk115,town_tk115,village_tk215,
lord_tk5_53,有马晴信,town_tk160,town_tk163,town_tk163,town_tk163,town_tk163,town_tk163
lord_tk5_54,安国寺惠琼,village_tk227,village_tk227,village_tk227,village_tk227,village_tk227,town_tk146
lord_tk5_55,安东高季,town_tk013,town_tk013,town_tk013,town_tk013,town_tk013,
lord_tk5_56,安东爱季,town_tk013,town_tk013,town_tk013,town_tk013,town_tk013,
lord_tk5_57,安藤直次,town_tk072,town_tk077,town_tk077,town_tk074,town_tk074,town_tk041
lord_tk5_58,安藤守就,town_tk086,town_tk086,town_tk086,town_tk086,village_tk206,
lord_tk5_59,安藤良整,town_tk046,town_tk046,town_tk046,town_tk046,town_tk046,
lord_tk5_60,饭尾连龙,town_tk074,town_tk074,,,,
lord_tk5_61,饭田觉兵卫,village_tk205,village_tk205,village_tk205,village_tk205,village_tk205,town_tk165
lord_tk5_62,井伊直政,town_tk072,town_tk077,town_tk077,town_tk074,town_tk074,town_tk035
lord_tk5_63,伊贺崎道顺,castle_tk251,castle_tk251,castle_tk251,castle_tk251,castle_tk251,castle_tk251
lord_tk5_64,伊木忠次,town_tk077,village_tk205,village_tk205,village_tk205,village_tk205,town_tk079
lord_tk5_65,池田惣左卫门,village_tk185,village_tk185,village_tk185,village_tk185,village_tk185,village_tk185
lord_tk5_66,池田恒兴,town_tk080,town_tk080,town_tk084,town_tk084,town_tk115,
lord_tk5_67,池田辉政,town_tk080,town_tk080,town_tk084,town_tk084,town_tk115,town_tk079
lord_tk5_68,池田元助,town_tk080,town_tk080,town_tk084,town_tk084,town_tk115,
lord_tk5_69,池赖和,castle_tk270,castle_tk270,castle_tk270,castle_tk270,castle_tk270,
lord_tk5_70,生驹亲正,town_tk080,town_tk080,town_tk084,town_tk084,town_tk097,town_tk144
lord_tk5_71,石川昭光,town_tk019,town_tk019,town_tk019,town_tk019,town_tk019,town_tk010
lord_tk5_72,石川数正,town_tk072,town_tk077,town_tk077,town_tk074,town_tk074,
lord_tk5_73,石川五右卫门,castle_tk251,castle_tk251,castle_tk251,castle_tk251,castle_tk251,
lord_tk5_74,石川高信,town_tk003,town_tk003,town_tk003,town_tk003,,
lord_tk5_75,石田三成,village_tk209,village_tk209,village_tk209,town_tk096,town_tk127,town_tk095
lord_tk5_76,石母田景赖,town_tk019,town_tk019,town_tk019,town_tk019,town_tk019,town_tk010
lord_tk5_77,伊集院忠仓,town_tk178,town_tk178,,,,
lord_tk5_78,伊集院忠栋,town_tk178,town_tk178,town_tk178,town_tk178,town_tk178,town_tk178
lord_tk5_79,以心崇传,village_tk212,village_tk212,village_tk212,village_tk212,village_tk212,town_tk041
lord_tk5_80,矶野员昌,town_tk095,town_tk095,town_tk095,town_tk084,,
lord_tk5_81,板仓胜重,town_tk072,town_tk077,town_tk077,town_tk074,town_tk074,town_tk041
lord_tk5_82,板部冈江雪斋,town_tk046,town_tk046,town_tk046,town_tk046,town_tk046,town_tk041
lord_tk5_83,伊丹康直,castle_tk263,castle_tk263,castle_tk263,castle_tk263,castle_tk263,
lord_tk5_84,市川经好,town_tk138,town_tk138,town_tk138,town_tk138,town_tk138,
lord_tk5_85,一栗放牛,town_tk007,town_tk007,town_tk007,town_tk007,town_tk007,
lord_tk5_86,一条兼定,town_tk154,town_tk154,town_tk154,village_tk238,village_tk238,
lord_tk5_87,一条信龙,town_tk069,town_tk069,town_tk069,town_tk069,town_tk069,
lord_tk5_88,伊地知重兴,town_tk176,town_tk176,town_tk176,town_tk178,,
lord_tk5_89,伊地知重秀,town_tk178,town_tk178,town_tk178,town_tk178,town_tk178,
lord_tk5_90,一万田鉴实,town_tk170,town_tk170,town_tk170,town_tk170,town_tk170,
lord_tk5_91,一色义清,town_tk109,town_tk109,town_tk109,town_tk109,,
lord_tk5_92,一色义定,town_tk109,town_tk109,town_tk109,town_tk109,,
lord_tk5_93,一色义道,town_tk109,town_tk109,town_tk109,town_tk109,,
lord_tk5_94,出浦盛清,castle_tk249,castle_tk249,castle_tk249,castle_tk249,castle_tk249,castle_tk249
lord_tk5_95,伊藤一刀斋,village_tk197,village_tk191,village_tk191,village_tk191,village_tk191,village_tk191
lord_tk5_96,伊东祐兵,town_tk173,town_tk173,town_tk173,town_tk173,village_tk230,town_tk174
lord_tk5_97,伊藤惣十郎,village_tk205,village_tk205,village_tk205,village_tk205,village_tk205,
lord_tk5_98,伊东义祐,town_tk173,town_tk173,town_tk173,town_tk173,village_tk230,
lord_tk5_99,伊奈忠次,village_tk204,village_tk204,village_tk204,town_tk077,town_tk074,town_tk041
lord_tk5_100,稻富一梦,town_tk109,town_tk109,town_tk109,town_tk109,town_tk109,town_tk109
lord_tk5_101,稻叶一铁,town_tk088,town_tk088,town_tk088,town_tk088,town_tk088,
lord_tk5_102,稻叶贞通,town_tk088,town_tk088,town_tk088,town_tk088,town_tk088,town_tk088
lord_tk5_103,稻叶正成,town_tk088,village_tk206,village_tk206,town_tk088,village_tk206,town_tk156
lord_tk5_104,猪苗代盛国,town_tk020,town_tk020,town_tk020,town_tk020,town_tk020,
lord_tk5_105,猪子兵介,town_tk084,town_tk080,town_tk084,town_tk084,town_tk097,
lord_tk5_106,猪俣邦宪,town_tk046,town_tk046,town_tk034,town_tk034,town_tk034,
lord_tk5_107,今井宗久,village_tk215,village_tk215,village_tk215,village_tk215,village_tk215,
lord_tk5_108,今井宗薰,village_tk215,village_tk215,village_tk215,village_tk215,village_tk215,village_tk215
lord_tk5_109,今川氏真,town_tk072,town_tk072,town_tk074,village_tk193,village_tk193,town_tk041
lord_tk5_110,今川义元,town_tk072,town_tk072,,,,
lord_tk5_111,宇野藤右卫门,village_tk193,village_tk193,village_tk193,village_tk193,village_tk193,
lord_tk5_112,色部胜长,town_tk049,town_tk049,town_tk049,,,
lord_tk5_113,色部长实,town_tk049,town_tk049,town_tk049,town_tk049,town_tk049,
lord_tk5_114,岩成友通,town_tk111,town_tk111,town_tk149,,,
lord_tk5_115,犬童赖安,town_tk166,town_tk166,town_tk166,town_tk166,town_tk166,town_tk166
lord_tk5_116,上杉景胜,town_tk049,town_tk049,town_tk049,town_tk049,town_tk049,town_tk020
lord_tk5_117,上杉景虎,town_tk046,town_tk046,town_tk046,town_tk049,,
lord_tk5_118,上杉景信,town_tk049,town_tk049,town_tk049,town_tk049,,
lord_tk5_119,上杉谦信,town_tk049,town_tk049,town_tk049,town_tk049,,
lord_tk5_120,神屋宗湛,village_tk233,village_tk233,village_tk233,village_tk233,village_tk233,village_tk233
lord_tk5_121,坂田源右卫门,village_tk201,village_tk201,village_tk201,village_tk201,,
lord_tk5_122,鹈饲孙六,castle_tk253,castle_tk253,castle_tk253,castle_tk253,castle_tk253,
lord_tk5_123,宇喜多忠家,town_tk133,town_tk133,town_tk133,town_tk131,town_tk131,town_tk131
lord_tk5_124,宇喜多直家,town_tk133,town_tk133,town_tk133,town_tk131,,
lord_tk5_125,宇喜多秀家,town_tk133,town_tk133,town_tk133,town_tk131,town_tk131,town_tk131
lord_tk5_126,宇久纯定,castle_tk272,castle_tk272,castle_tk272,castle_tk272,,
lord_tk5_127,宇久纯玄,castle_tk272,castle_tk272,castle_tk272,castle_tk272,castle_tk272,
lord_tk5_128,宇佐美定满,town_tk049,town_tk049,,,,
lord_tk5_129,氏家卜全,town_tk084,town_tk088,town_tk088,,,
lord_tk5_130,氏家光氏,town_tk016,town_tk016,town_tk016,town_tk016,town_tk016,town_tk016
lord_tk5_131,氏家守栋,town_tk016,town_tk016,town_tk016,town_tk016,town_tk016,
lord_tk5_132,氏家行广,town_tk084,town_tk088,town_tk088,town_tk088,town_tk088,town_tk091
lord_tk5_133,牛尾幸清,town_tk121,town_tk121,town_tk138,town_tk138,town_tk138,
lord_tk5_134,臼杵鉴速,town_tk170,town_tk170,town_tk170,,,
lord_tk5_135,宇都宫国纲,town_tk028,town_tk028,town_tk028,town_tk028,town_tk028,village_tk224
lord_tk5_136,宇都宫广纲,town_tk028,town_tk028,town_tk028,town_tk028,,
lord_tk5_137,鹈殿氏长,town_tk072,town_tk078,town_tk075,town_tk074,town_tk075,town_tk041
lord_tk5_138,鹈殿长照,town_tk072,town_tk078,,,,
lord_tk5_139,宇山久兼,town_tk121,town_tk121,,,,
lord_tk5_140,浦上宗景,town_tk133,town_tk133,town_tk133,town_tk133,,
lord_tk5_141,上井觉兼,town_tk178,town_tk178,town_tk178,town_tk178,town_tk178,
lord_tk5_142,海野六郎,village_tk199,village_tk199,village_tk199,village_tk199,village_tk199,village_tk199
lord_tk5_143,颖娃久虎,town_tk178,town_tk178,town_tk178,town_tk178,town_tk178,
lord_tk5_144,江村亲家,town_tk152,town_tk152,town_tk152,town_tk152,town_tk152,
lord_tk5_145,江里口信常,town_tk160,town_tk160,town_tk160,town_tk160,town_tk160,
lord_tk5_146,圆城寺信胤,town_tk160,town_tk160,town_tk160,town_tk160,town_tk160,
lord_tk5_147,远藤直经,town_tk094,town_tk094,town_tk094,,,
lord_tk5_148,远藤基信,town_tk019,town_tk019,town_tk019,town_tk019,town_tk019,
lord_tk5_149,大石智久,town_tk155,town_tk155,town_tk155,town_tk155,town_tk155,town_tk155
lord_tk5_150,大内定纲,town_tk020,town_tk020,town_tk020,town_tk020,town_tk020,town_tk010
lord_tk5_151,大内辉弘,town_tk170,town_tk170,town_tk170,,,
lord_tk5_152,大内义长,town_tk141,,,,,
lord_tk5_153,大久保忠佐,town_tk072,town_tk077,town_tk077,town_tk074,town_tk074,town_tk041
lord_tk5_154,大久保忠教,town_tk072,village_tk204,town_tk077,town_tk074,town_tk074,town_tk046
lord_tk5_155,大久保忠邻,town_tk072,town_tk077,town_tk077,town_tk074,town_tk074,town_tk046
lord_tk5_156,大久保忠世,town_tk072,town_tk077,town_tk077,town_tk074,town_tk074,
lord_tk5_157,大久保长安,village_tk201,village_tk201,village_tk201,village_tk201,village_tk201,town_tk041
lord_tk5_158,大熊朝秀,town_tk049,town_tk069,town_tk069,town_tk069,town_tk069,
lord_tk5_159,大崎义隆,town_tk009,town_tk009,town_tk009,town_tk009,town_tk009,town_tk020
lord_tk5_160,大崎义直,town_tk009,town_tk009,town_tk009,town_tk009,,
lord_tk5_161,大须贺康高,town_tk072,town_tk077,town_tk077,town_tk074,town_tk074,
lord_tk5_162,太田氏资,town_tk042,town_tk042,,,,
lord_tk5_163,太田牛一,town_tk080,town_tk080,town_tk084,town_tk084,town_tk097,town_tk113
lord_tk5_164,太田三乐斋,town_tk042,town_tk042,town_tk027,town_tk024,town_tk024,
lord_tk5_165,大谷吉继,village_tk210,village_tk210,village_tk210,village_tk210,town_tk127,town_tk061
lord_tk5_166,大月景秀,village_tk198,village_tk198,village_tk198,,,
lord_tk5_167,大友宗麟,town_tk170,town_tk170,town_tk170,town_tk170,town_tk170,
lord_tk5_168,大友亲家,town_tk170,town_tk170,town_tk170,town_tk170,town_tk170,town_tk158
lord_tk5_169,大友亲盛,town_tk170,town_tk170,town_tk170,town_tk170,town_tk170,village_tk237
lord_tk5_170,大友义统,town_tk170,town_tk170,town_tk170,town_tk170,town_tk170,village_tk238
lord_tk5_171,大野治长,town_tk080,town_tk080,town_tk084,town_tk084,town_tk127,town_tk113
lord_tk5_172,大村纯忠,town_tk161,town_tk161,town_tk161,town_tk161,town_tk161,
lord_tk5_173,小笠原长时,town_tk049,town_tk111,town_tk049,town_tk049,town_tk049,
lord_tk5_174,小笠原少斋,town_tk098,village_tk212,town_tk105,town_tk084,town_tk109,town_tk109
lord_tk5_175,冈家利,town_tk133,town_tk133,town_tk133,town_tk131,town_tk131,
lord_tk5_176,冈部贞纲,castle_tk263,castle_tk263,castle_tk263,castle_tk263,,
lord_tk5_177,冈部正纲,town_tk072,town_tk072,town_tk074,town_tk069,town_tk069,
lord_tk5_178,冈部元信,town_tk072,town_tk072,town_tk074,town_tk069,,
lord_tk5_179,冈本随缘斋,castle_tk261,castle_tk261,castle_tk261,castle_tk261,castle_tk261,
lord_tk5_180,冈本禅哲,town_tk024,town_tk024,town_tk024,town_tk024,town_tk024,
lord_tk5_181,冈本赖氏,town_tk166,town_tk166,town_tk166,town_tk166,town_tk166,town_tk166
lord_tk5_182,冈吉正,town_tk116,town_tk116,town_tk116,town_tk116,town_tk116,
lord_tk5_183,奥平信昌,town_tk072,town_tk077,town_tk078,town_tk078,town_tk078,town_tk041
lord_tk5_184,奥村永福,town_tk080,town_tk080,town_tk084,town_tk084,town_tk055,town_tk056
lord_tk5_185,长船贞亲,town_tk133,town_tk133,town_tk133,town_tk131,town_tk131,
lord_tk5_186,长船纲直,town_tk133,town_tk133,town_tk133,town_tk131,town_tk131,town_tk131
lord_tk5_187,小濑甫庵,village_tk206,village_tk206,village_tk206,village_tk206,village_tk206,town_tk074
lord_tk5_188,小田氏治,town_tk026,town_tk026,town_tk026,town_tk046,town_tk046,town_tk040
lord_tk5_189,织田有乐,town_tk080,town_tk080,town_tk084,town_tk084,town_tk097,town_tk101
lord_tk5_190,织田信胜,town_tk083,,,,,
lord_tk5_191,织田信雄,town_tk080,town_tk080,town_tk084,town_tk091,town_tk090,town_tk059
lord_tk5_192,织田信包,town_tk080,town_tk080,town_tk084,town_tk084,town_tk097,town_tk107
lord_tk5_193,织田信孝,town_tk080,town_tk080,town_tk084,town_tk090,town_tk097,
lord_tk5_194,织田信忠,town_tk080,town_tk080,town_tk084,town_tk084,town_tk084,
lord_tk5_195,织田信长,town_tk080,town_tk080,town_tk084,town_tk084,town_tk097,
lord_tk5_196,织田秀信,town_tk080,town_tk080,town_tk084,town_tk084,town_tk084,town_tk084
lord_tk5_197,小寺政职,town_tk127,town_tk127,town_tk127,town_tk127,,
lord_tk5_198,小岛弥太郎,town_tk049,town_tk049,town_tk049,town_tk049,town_tk049,
lord_tk5_199,鬼庭左月,town_tk019,town_tk019,town_tk019,town_tk019,town_tk019,
lord_tk5_200,鬼庭纲元,town_tk019,town_tk019,town_tk019,town_tk019,town_tk019,town_tk010
lord_tk5_201,小野镇幸,town_tk170,town_tk170,town_tk170,town_tk170,town_tk156,town_tk158
lord_tk5_202,小野善鬼,village_tk191,village_tk191,village_tk191,village_tk191,village_tk191,
lord_tk5_203,小野忠明,village_tk190,village_tk190,village_tk190,village_tk190,village_tk190,town_tk041
lord_tk5_204,小野寺辉道,town_tk015,town_tk015,town_tk015,town_tk015,town_tk015,
lord_tk5_205,小野寺义道,town_tk015,town_tk015,town_tk015,town_tk015,town_tk015,town_tk015
lord_tk5_206,小幡勘兵卫,town_tk069,town_tk069,town_tk069,town_tk069,town_tk069,town_tk041
lord_tk5_207,小滨景隆,castle_tk263,castle_tk263,castle_tk263,castle_tk263,castle_tk263,castle_tk263
lord_tk5_208,饭富虎昌,town_tk069,town_tk069,,,,
lord_tk5_209,小山田信茂,town_tk069,town_tk069,town_tk069,town_tk069,town_tk070,
lord_tk5_210,甲斐宗运,town_tk164,town_tk164,town_tk164,town_tk164,town_tk164,
lord_tk5_211,海北纲亲,town_tk094,town_tk094,town_tk094,,,
lord_tk5_212,香川亲和,town_tk152,town_tk152,town_tk152,town_tk152,town_tk152,
lord_tk5_213,香川元景,town_tk144,town_tk144,town_tk144,town_tk144,,
lord_tk5_214,柿崎景家,town_tk049,town_tk049,town_tk049,town_tk049,,
lord_tk5_215,蛎崎季广,town_tk000,town_tk000,town_tk000,town_tk000,town_tk000,
lord_tk5_216,蛎崎庆广,town_tk000,town_tk000,town_tk000,town_tk000,town_tk000,town_tk000
lord_tk5_217,垣屋光成,town_tk118,town_tk118,town_tk118,town_tk118,town_tk127,
lord_tk5_218,笕十藏,village_tk200,village_tk200,village_tk200,village_tk200,village_tk200,village_tk200
lord_tk5_219,葛西晴信,town_tk008,town_tk008,town_tk008,town_tk008,town_tk008,
lord_tk5_220,笠原政尧,town_tk046,town_tk046,town_tk046,town_tk046,town_tk046,
lord_tk5_221,梶原景宗,castle_tk262,castle_tk262,castle_tk262,castle_tk262,castle_tk262,village_tk217
lord_tk5_222,果心居士,village_tk211,village_tk211,village_tk211,village_tk211,village_tk211,village_tk207
lord_tk5_223,糟谷武则,village_tk222,village_tk222,village_tk222,village_tk222,town_tk127,town_tk128
lord_tk5_224,片桐且元,town_tk080,town_tk080,town_tk084,town_tk084,town_tk127,town_tk113
lord_tk5_225,片仓景纲,town_tk019,town_tk019,town_tk019,town_tk019,town_tk019,town_tk010
lord_tk5_226,佐甲藤太郎,village_tk228,village_tk228,village_tk228,village_tk228,village_tk228,village_tk228
lord_tk5_227,坚田元庆,town_tk138,town_tk138,town_tk138,town_tk138,town_tk138,town_tk136
lord_tk5_228,桂元澄,town_tk138,town_tk138,town_tk138,,,
lord_tk5_229,葛山氏元,town_tk072,town_tk072,,,,
lord_tk5_230,加藤清正,village_tk205,town_tk080,town_tk084,town_tk096,town_tk127,town_tk165
lord_tk5_231,加藤段藏,castle_tk252,castle_tk252,castle_tk250,,,
lord_tk5_232,加藤光泰,town_tk084,town_tk084,town_tk084,town_tk084,town_tk127,
lord_tk5_233,加藤嘉明,town_tk080,town_tk080,town_tk084,town_tk096,town_tk127,town_tk145
lord_tk5_234,金上盛备,town_tk020,town_tk020,town_tk020,town_tk020,town_tk020,
lord_tk5_235,金森长近,village_tk206,village_tk206,village_tk206,town_tk084,town_tk097,town_tk089
lord_tk5_236,可儿才藏,town_tk080,town_tk084,town_tk084,town_tk084,town_tk097,town_tk080
lord_tk5_237,钟卷自斋,village_tk197,village_tk197,village_tk197,village_tk197,village_tk197,village_tk197
lord_tk5_238,蒲池鉴盛,town_tk158,town_tk158,town_tk158,town_tk158,,
lord_tk5_239,龟井兹矩,village_tk220,town_tk121,village_tk220,village_tk220,village_tk220,town_tk120
lord_tk5_240,蒲生氏乡,town_tk099,town_tk099,town_tk099,town_tk099,town_tk099,
lord_tk5_241,蒲生贤秀,town_tk099,town_tk099,town_tk099,town_tk099,town_tk099,
lord_tk5_242,蒲生定秀,town_tk099,town_tk099,town_tk099,town_tk099,,
lord_tk5_243,蒲生赖乡,town_tk099,town_tk099,town_tk099,town_tk099,town_tk099,town_tk095
lord_tk5_244,蒲生秀行,town_tk099,town_tk099,town_tk099,town_tk099,town_tk099,town_tk028
lord_tk5_245,川上忠智,town_tk178,town_tk178,town_tk178,town_tk178,town_tk178,
lord_tk5_246,川上久朗,town_tk178,town_tk178,town_tk178,,,
lord_tk5_247,河尻秀隆,town_tk080,town_tk080,town_tk084,town_tk084,town_tk084,
lord_tk5_248,河田长亲,town_tk049,town_tk049,town_tk049,town_tk049,,
lord_tk5_249,愿证寺证惠,town_tk092,town_tk092,town_tk092,,,
lord_tk5_250,神户具盛,town_tk091,town_tk090,town_tk090,town_tk090,town_tk097,
lord_tk5_251,菅达长,castle_tk266,castle_tk266,castle_tk266,castle_tk266,castle_tk265,castle_tk266
lord_tk5_252,城井镇房,town_tk168,town_tk168,town_tk168,town_tk168,town_tk168,
lord_tk5_253,喜入季久,town_tk178,town_tk178,town_tk178,town_tk178,town_tk178,
lord_tk5_254,木曾义昌,town_tk067,town_tk067,town_tk067,town_tk067,town_tk067,
lord_tk5_255,木曾义康,town_tk067,town_tk067,town_tk067,town_tk067,,
lord_tk5_256,北条景广,town_tk049,town_tk032,town_tk032,town_tk032,,
lord_tk5_257,北条高广,town_tk049,town_tk032,town_tk032,town_tk032,town_tk049,
lord_tk5_258,北信爱,town_tk003,town_tk003,town_tk003,town_tk003,town_tk003,town_tk005
lord_tk5_259,北畠具教,town_tk091,town_tk091,town_tk091,town_tk091,,
lord_tk5_260,北畠具房,town_tk091,town_tk091,town_tk091,town_tk091,,
lord_tk5_261,北畠晴具,town_tk091,town_tk091,,,,
lord_tk5_262,吉川经家,town_tk125,town_tk138,town_tk138,town_tk138,,
lord_tk5_263,吉川广家,town_tk125,town_tk125,town_tk125,town_tk121,town_tk121,town_tk121
lord_tk5_264,吉川元长,town_tk125,town_tk125,town_tk125,town_tk121,town_tk121,
lord_tk5_265,吉川元春,town_tk125,town_tk125,town_tk125,town_tk121,town_tk121,
lord_tk5_266,木下昌直,town_tk160,town_tk160,town_tk160,town_tk160,town_tk160,
lord_tk5_267,木村重成,village_tk216,village_tk216,village_tk216,village_tk216,village_tk216,town_tk113
lord_tk5_268,肝付兼续,town_tk176,town_tk176,,,,
lord_tk5_269,肝付兼护,town_tk176,town_tk176,town_tk176,town_tk176,town_tk176,town_tk178
lord_tk5_270,肝付良兼,town_tk176,town_tk176,town_tk176,,,
lord_tk5_271,京极高次,town_tk098,town_tk105,town_tk105,town_tk084,town_tk097,town_tk098
lord_tk5_272,京极高知,town_tk098,town_tk105,town_tk105,town_tk084,town_tk097,town_tk066
lord_tk5_273,京极高吉,town_tk098,town_tk105,town_tk105,town_tk084,,
lord_tk5_274,吉良亲贞,town_tk152,town_tk152,town_tk152,town_tk152,,
lord_tk5_275,吉良亲实,town_tk152,town_tk152,town_tk152,town_tk152,town_tk152,
lord_tk5_276,雾隐才藏,castle_tk251,castle_tk251,castle_tk251,castle_tk251,castle_tk251,castle_tk251
lord_tk5_277,九鬼广隆,village_tk208,village_tk208,village_tk208,village_tk208,village_tk208,town_tk156
lord_tk5_278,九鬼守隆,castle_tk265,castle_tk265,castle_tk265,castle_tk265,castle_tk265,town_tk093
lord_tk5_279,九鬼嘉隆,castle_tk265,castle_tk265,castle_tk265,castle_tk265,castle_tk265,castle_tk265
lord_tk5_280,楠长谙,village_tk216,town_tk101,town_tk101,town_tk101,town_tk097,
lord_tk5_281,口羽通良,town_tk125,town_tk125,town_tk125,town_tk121,town_tk121,
lord_tk5_282,朽木元纲,town_tk098,town_tk097,town_tk084,town_tk084,town_tk097,town_tk113
lord_tk5_283,国司元相,town_tk138,town_tk138,town_tk138,town_tk138,town_tk138,
lord_tk5_284,国友善兵卫,village_tk209,village_tk209,village_tk209,village_tk209,village_tk209,village_tk209
lord_tk5_285,九户政实,town_tk004,town_tk004,town_tk004,town_tk004,town_tk004,
lord_tk5_286,熊谷信直,town_tk125,town_tk125,town_tk125,town_tk121,town_tk121,
lord_tk5_287,组屋源四郎,village_tk214,village_tk214,village_tk214,village_tk214,village_tk214,village_tk214
lord_tk5_288,末吉孙左卫门,village_tk216,village_tk216,village_tk216,village_tk216,village_tk216,village_tk216
lord_tk5_289,藏田五郎左,village_tk194,village_tk194,village_tk194,village_tk194,,
lord_tk5_290,来岛通总,castle_tk269,castle_tk269,castle_tk269,castle_tk269,castle_tk269,
lord_tk5_291,村上通康,castle_tk269,castle_tk269,,,,
lord_tk5_292,黑田如水,town_tk127,town_tk127,town_tk127,town_tk096,town_tk127,town_tk168
lord_tk5_293,黑田长政,town_tk127,town_tk127,town_tk127,town_tk127,town_tk127,town_tk168
lord_tk5_294,黑田职隆,town_tk127,town_tk127,town_tk127,town_tk127,town_tk127,
